,Unnamed: 0,Unnamed: 0.1,학번,학생소속대학명,학생교육부계열,성별,입학과정,학적,학과,전공,전공교수,rec014_nation_cd,과정,수료년도,수료학기,rec014_birth_dt,졸업년도,졸업학기,gpa,rec014_school_term,서류점수,면접점수,학부출신,대학원출신,인건비총액,월별인건비
2951,2951,3178,AAHr2G12YxxqTmXfbNjT/ole,공과대학,공학,2,외국인,졸업,전기전자공학과,신호 및 멀티미디어전공,AAHCDViqJJEmqBBosbURMvpo,foreigner,석사과정,2019,2R,19950213,2019,2R,4.39,4,92.3,,타교,,21622000,900917
2952,2952,3179,AAGIYqjQvCR5DfP18TgUVcTM,공과대학,공학,1,학연산협동과정,졸업,전기전자공학과,반도체 및 나노전공,AAFAdiRzimzpkLB6/eFLLRaK,korean,석사과정,2019,2R,19910205,2019,2R,4,4,44,44,타교,,,0
2953,2953,3180,AAG4mK+ggoC0AZc6/TGtEuA5,공과대학,공학,1,학연산협동과정,졸업,전기전자공학과,반도체 및 나노전공,AAFAdiRzimzpkLB6/eFLLRaK,korean,석사과정,2019,2R,19911015,2019,2R,4.38,4,45,44,타교,,,0
2954,2954,3181,AAELFzOK1A+keM+CLHVwO8x/,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,컴퓨터공학전공,AAG1z8MOPsG4V/wTjh0NmDLJ,korean,석사과정,2019,2R,19910912,2019,2R,4.44,4,46,45,타교,,26200000,1091667
2955,2955,3182,AAFOta5uDNHav2UP15bfSCEt,공과대학,공학,1,정원내신입학,졸업,신소재공학과,신소재공학전공,AAE4RWtRb5Aywzq18+9py2WY,korean,석사과정,2019,2R,19921018,2019,2R,4.44,4,57,39,자교,,40800000,1700000
2956,2956,3183,AAGzKPiuFlvkSii/KmKBfqwM,공과대학,공학,2,정원내신입학,졸업,신소재공학과,신소재공학전공,AAE330+czTet4zmy3RsNp6PW,korean,석사과정,2019,2R,19930802,2019,2R,3.94,4,57,36,타교,,1850000,77083
2957,2957,3184,AAFmW4a6fcsSIj0oF89zQsEv,공과대학,공학,1,정원내신입학,졸업,신소재공학과,신소재공학전공,AAHMngiUwqKD8mqXyCpl4RdA,korean,석사과정,2019,2R,19911209,2019,2R,4.25,4,57,38,타교,,10180000,424167
2958,2958,3185,AAHsMwHqdyuCQCZhHvOosJm9,공과대학,공학,1,정원내신입학,졸업,신소재공학과,신소재공학전공,AAG/JVT6xluE6DbNm+mre8iq,korean,석사과정,2019,2R,19900220,2019,2R,4.23,4,57,35,타교,,20560000,856667
2959,2959,3186,AAF71FFdLhLFzTbnuEMmjVlv,공과대학,공학,2,외국인,졸업,신소재공학과,신소재공학전공,AAF4pNgCtw8Vp1PBSri//9b6,foreigner,석사과정,2019,2R,19931208,2019,2R,4.19,4,98,,타교,,26010000,1083750
2960,2960,3187,AAE/oPR0D/5wb9RnzD0bT0Ca,공과대학,공학,1,외국인,졸업,신소재공학과,신소재공학전공,AAH4u4vv2J912Kca+GN/bWlb,foreigner,석사과정,2019,2R,19900720,2019,2R,4.28,4,100,,타교,,,0
2961,2961,3188,AAHKPcbhh8oCpHhcFbqbJc/N,공과대학,공학,1,학연산협동과정,졸업,신소재공학과,신소재공학전공,AAFiFnbgowp64/vIKAkflPLV,korean,석사과정,2019,2R,19920422,2019,2R,4.06,4,58,40,타교,,,0
2962,2962,3189,AAGFWzn06oraugPCSNaokkLt,공과대학,공학,1,학연산협동과정,졸업,신소재공학과,신소재공학전공,AAE330+czTet4zmy3RsNp6PW,korean,석사과정,2019,2R,19890912,2019,2R,4.25,4,57,38,타교,,,0
2963,2963,3190,AAHdAqodRcfi/VrvmsFefgZb,공과대학,공학,1,정원내신입학,졸업,신소재공학과,신소재공학전공,AAF1qK1VjAd7Et0WDMAYCWmi,korean,석사과정,2019,2R,19871115,2019,2R,4.25,4,57,38,타교,,30124000,1255167
