,Unnamed: 0,Unnamed: 0.1,학번,학생소속대학명,학생교육부계열,성별,입학과정,학적,학과,전공,전공교수,rec014_nation_cd,과정,수료년도,수료학기,rec014_birth_dt,졸업년도,졸업학기,gpa,rec014_school_term,서류점수,면접점수,학부출신,대학원출신,인건비총액,월별인건비
1,1,5,AAH4CETLfdR7Q58K72wEcJO4,공과대학,공학,1,정원내신입학,졸업,기계공학과,기계공학전공,AAFAbhVgDcRTPKjlPahhiYS1,korean,박사과정,2018,2R,19860206,2020,1R,4.13,7,48,48.5,타교,자교,153224159,3648194
2,2,9,AAE0z2qPAyOkZ3FAezQ1OeBj,공과대학,공학,1,정원내신입학,졸업,기계공학과,기계공학전공,AAFAbhVgDcRTPKjlPahhiYS1,korean,박사과정,2018,2R,19870102,2020,1R,4.08,7,49,49,타교,자교,155337189,3698505
17,17,73,AAGGfSnlC2bMuJARsPv4E/YZ,공과대학,공학,1,정원내신입학,졸업,건축사회환경공학과,사회인프라전공,AAGCqxpkl1TslVbWwzL7IA5K,korean,박사과정,2018,1R,19681009,2020,1R,4,9,50,49.33,자교,자교,,0
19,19,76,AAHGWAxp+db4pPyoRxPXRJ1b,공과대학,공학,2,정원내신입학,졸업,건축사회환경공학과,건설시스템 경영 및 관리,AAHpBFe+EZ/b+4BrGFPFBGbo,korean,박사과정,2018,1R,19710128,2020,1R,4.46,9,48,46.33,타교,자교,,0
31,31,142,AAEmBGImTwn3bX6KzDkfKyUb,공과대학,공학,1,정원내신입학,졸업,기계공학과,기계공학전공,AAG9vgWMRYHtNalVfeopzK5v,korean,박사과정,2018,1R,19850402,2020,1R,4.46,8,48,48,타교,자교,148923020,3102563
45,45,201,AAHM669ImlBb9hW1E1J92ILx,공과대학,공학,1,정원내신입학,졸업,신소재공학과,신소재공학전공,AAF1qK1VjAd7Et0WDMAYCWmi,korean,박사과정,2018,1R,19870514,2020,1R,4.21,8,57,39,타교,자교,,0
46,46,202,AAGN+io3E/sbA2l3c1zHWevM,공과대학,공학,1,정원내신입학,졸업,신소재공학과,신소재공학전공,AAGTszpzFC5e3mUi28BQAvQQ,korean,박사과정,2018,1R,19860512,2020,1R,3.88,8,58,40,타교,자교,126600000,2637500
47,47,204,AAGGH/lmugoHNBEppJ+mm7Bi,공과대학,공학,2,정원내신입학,졸업,미세소자공학협동과정,반도체소자전공,AAGVaVDMnAJbsoy6IqhpItUd,korean,박사과정,2018,1R,19910225,2020,1R,4.33,8,49,48,타교,자교,128100000,2668750
58,58,275,AAGtZH3zKdAtciswndl9pWDW,공과대학,공학,1,정원내신입학,졸업,바이오마이크로시스템기술협동과정,의공학전공,AAEpHiaFK56xDZ2xZgm7yKh4,korean,박사과정,2017,1R,19870904,2020,1R,3.88,10,57,38.33,타교,자교,114915000,1915250
61,61,294,AAGcPO9InkOeTygdWuSYYC0p,공과대학,공학,1,정원내신입학,졸업,산업경영공학과,산업경영공학전공,AAFALvCxkcHPLh1HSG5JfBLX,korean,박사과정,2018,1R,19871023,2020,1R,4.42,8,48,46,타교,타교,101300000,2110417
64,64,301,AAEcMkon5sXbQQlo3E4Z/wNe,공과대학,공학,2,정원내신입학,졸업,건축사회환경공학과,사회인프라전공,AAG/k5m8JyuxBPC7I/vkq0VW,korean,박사과정,2018,1R,19830804,2020,1R,4.27,8,48,46.33,자교,자교,132135524,2752823
