,Unnamed: 0,Unnamed: 0.1,학번,학생소속대학명,학생교육부계열,성별,입학과정,학적,학과,전공,전공교수,rec014_nation_cd,과정,수료년도,수료학기,rec014_birth_dt,졸업년도,졸업학기,gpa,rec014_school_term,인건비총액,서류점수,면접점수,학부출신,대학원출신,월별인건비
122,122,4789,AAG/M5D6LaIctjtJ+rhHBMwk,생명과학대학,자연과학,2,정원내신입학,졸업,생명공학과,의약나노바이오시스템전공,AAGu6sAepK2H5xXyzu22Hr5B,korean,석·박사통합과정,2018,2R,19910703,2021,1R,4.15,11,70440000,47,42.7,타교,,1067273
123,123,4790,AAEl+mXNJeSZqawzedZGcTnP,생명과학대학,자연과학,2,외국인,졸업,생명공학과,시스템식품생명공학전공,AAFdqdv6Bx+KGXpXW57QqirL,foreigner,석·박사통합과정,2018,2R,19890425,2021,1R,4.24,12,69570322,95.4,,타교,,966254
124,124,4845,AAGRugkJS4sl+mKV4oGH0ZA/,보건과학대학,자연과학,1,정원내신입학,졸업,보건과학과,환경보건학전공,AAHq1aLSiveQarv1QuOmgge9,korean,석·박사통합과정,2020,2R,19930220,2021,1R,4.3,8,97450229,47,45,자교,,2030213
125,125,4847,AAEjk1y8nqToX9B82syOJqcA,생명과학대학,자연과학,1,정원내신입학,졸업,환경생태공학과,생물재료공학전공,AAEWb5FJaLn9xPgDGlnbLYjD,korean,석·박사통합과정,2019,1R,19900112,2021,1R,4.15,11,114160000,49.67,49,타교,,1729697
126,126,4872,AAHEE8ecDL+5wavajEgrlbax,공과대학,공학,1,정원내신입학,졸업,건축사회환경공학과,기후 및 에너지공학전공,AAF3gwz/EroDu8ymIDNVRNmZ,korean,석·박사통합과정,2018,1R,19890502,2021,1R,4.26,12,123823160,45.33,44,타교,,1719766
127,127,4873,AAHJDHtwjmwy7vK1OvO156Kk,의과대학,자연과학,2,정원내신입학,졸업,의과학과,의생명과학전공,AAHSlraR81FHv/BgcvEks/wi,korean,석·박사통합과정,2018,1R,19900619,2021,1R,4.22,12,123898870,38.66,39,타교,,1720818
128,128,4880,AAEftl4dGTjHYc8SB3nTAQml,공과대학,공학,2,정원내신입학,졸업,화공생명공학과,화공생명공학전공,AAE/vvg7RqvrU/xhKeyCSz8z,korean,석·박사통합과정,2018,1R,19921216,2021,1R,4.24,12,124658118,51,36.5,자교,,1731363
129,129,4885,AAEjZpTjEev6Qn9Nvl+Xwro9,공과대학,공학,1,정원내신입학,졸업,화공생명공학과,화공생명공학전공,AAHInk8/FePfBTaicVyxuepA,korean,석·박사통합과정,2018,1R,19910212,2021,1R,4.2,12,81634560,54,39.5,자교,,1133813
130,130,4903,AAEA2FEfC8bqWoHLiMucPIdN,생명과학대학,자연과학,1,정원내신입학,졸업,환경생태공학과,수질및토양환경전공,AAEudxuVx5bQUcFs5ape70OW,korean,석·박사통합과정,2018,2R,19901225,2021,1R,4.33,12,83258021,47,47.33,자교,,1156361
131,131,5037,AAEX2zRy0rMsKLjhGcCzk+VW,보건과학대학,공학,1,정원내신입학,졸업,바이오융합공학과,바이오융합공학전공,AAF3N46eGMaBTxkN+oTmpoMp,korean,석·박사통합과정,2018,2R,19910413,2021,1R,4.11,11,107942000,45,45,자교,,1635485
132,132,5039,AAETHnzyjBDi9e/3n5ASa39S,공과대학,공학,1,학연산협동과정,졸업,전기전자공학과,반도체 및 나노전공,AAFukyr7xBbs8UJxDmTihFIk,korean,석·박사통합과정,2018,2R,19901001,2021,1R,4.39,11,,49.2,48.3,타교,,0
133,133,5105,AAHMvcunZzTxl/1t9MRspbK0,공과대학,공학,1,정원내신입학,졸업,화공생명공학과,화공생명공학전공,AAFusQhKNZAOH5aykCeK8qQL,korean,석·박사통합과정,2021,1R,19950921,2021,2R,4.5,7,50330000,54.5,38.25,자교,,1198333
134,134,5110,AAFjOIrPZS5YbWQV9KMg0SAv,이과대학,자연과학,1,정원내신입학,졸업,화학과,유기화학전공,AAHoKX9pkxpJ3RC1knPkTDFM,korean,석·박사통합과정,2019,1R,19931201,2021,2R,4.34,11,110300000,48,35,타교,,1671212
135,135,5111,AAGCl7UztZ7Nh0n8uQlUEwL8,공과대학,공학,1,정원내신입학,졸업,신소재공학과,신소재공학전공,AAFiFnbgowp64/vIKAkflPLV,korean,석·박사통합과정,2018,1R,19930208,2021,2R,4.25,13,129770968,57,40,자교,,1663730
