,Unnamed: 0,Unnamed: 0.1,학번,학생소속대학명,학생교육부계열,성별,입학과정,학적,학과,전공,전공교수,rec014_nation_cd,과정,수료년도,수료학기,rec014_birth_dt,졸업년도,졸업학기,gpa,rec014_school_term,서류점수,면접점수,학부출신,대학원출신,인건비총액,월별인건비
4111,4340,4943,AAEXJvMNIYqjF6/Efk7IKBcE,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,반도체 및 나노전공,AAFdRZU5Uy5qf4+4nNEb3Bx6,korean,석사과정,2021,1R,19950303,2021,1R,4.13,4,47.2,46.1,타교,,11630000,484583
4112,4341,4944,AAGe0DhJLtSeIYw+SxI0tnn3,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,컴퓨터공학전공,AAHbNTGEEr8V0DqbdeHsw6mR,korean,석사과정,2021,1R,19970421,2021,1R,4.5,4,48.7,49.8,자교,,29920000,1246667
4113,4342,4945,AAErzD4esNdTY2/0XJNV7C+r,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,반도체 및 나노전공,AAECdzyDAzeE6PWmSAm4h7jT,korean,석사과정,2021,1R,19810414,2021,1R,4.31,4,49.7,49.3,자교,,,0
4114,4343,4946,AAFDBLTPAvgUFXQFqbeh1sKN,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,통신 및 네트워크전공,AAFtNGSLAiOzKhtl6fTSFWNQ,korean,석사과정,2021,1R,19941127,2021,1R,4.11,4,46.5,44.2,타교,,5878498,244937
4115,4344,4947,AAE9Z3QvGtRd/+r0Ypz4SeN7,보건과학대학,공학,1,정원내신입학,졸업,바이오의공학과,바이오의공학,AAFRm+Ju3ysaA3l+3ynHvHj5,korean,석사과정,2021,1R,19940707,2021,1R,4.31,4,48,50,자교,,14550000,606250
4116,4345,4948,AAGzB855sBmIfuWx733WOe0Z,보건과학대학,공학,2,정원내신입학,졸업,바이오의공학과,바이오의공학,AAGMPNK/yV9wphminTE1HPug,korean,석사과정,2021,1R,19950909,2021,1R,4.17,4,47,46,타교,,37260000,1552500
4117,4346,4949,AAF/ZuY/jblSd+J4blUhMbjY,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,집적회로전공,AAG3+nQQfku8TxQrKNeggbkB,korean,석사과정,2021,1R,19940201,2021,1R,4.38,4,41,45.7,타교,,8400000,350000
4118,4347,4950,AAGEkbK4H1FyIGY+vZkgFwXQ,공과대학,공학,2,정원내신입학,졸업,전기전자공학과,통신 및 네트워크전공,AAGxp12W7P/OZsrknV1XW5AW,korean,석사과정,2021,1R,19950411,2021,1R,4.13,4,46.5,40.4,타교,,36632732,1526364
4119,4348,4951,AAGDnTWao7TK1TrSqMpAC/pa,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,전기에너지,AAEXnyv6IN+A1KKGomXr5cbD,korean,석사과정,2021,1R,19910204,2021,1R,4.25,4,48.3,46.6,타교,,38552004,1606334
4120,4349,4952,AAEG8XV04Ka7jcL3Rtov62hc,생명과학대학,자연과학,2,정원내신입학,졸업,식물생명공학과,식물병리학 및 생리학,AAH0HWX470dHOsiUoFhN3IJE,korean,석사과정,2021,1R,19960425,2021,1R,4.38,4,49,48,자교,,14400000,600000
